Name,Student Number,Employee Number,email,GTA,Program,Full Time,Year In Program,Min Hours,Preferred Hours,Max Hours,Study Permit,Prior TA?,Courses TAed Before,Pref Subjects,Average Grade,,,,
TA5000,500000,Emp5000,TA5000@hotmail.com,UTA,F1,1,4,0,12,12,1,1,,F1;F2,82.3,,,168,320
TA5001,500001,Emp5001,TA5001@hotmail.com,UTA,F1,1,3,0,6,12,1,0,,F1;F2,66.7,,,,
TA5002,500002,Emp5002,TA5002@hotmail.com,UTA,F1,1,3,0,8,12,1,0,,F1;F2,91,,,,
TA5003,500003,Emp5003,TA5003@hotmail.com,UTA,F1,1,2,0,12,12,1,1,,F1;F2,83.7,,,,
TA5004,500004,Emp5004,TA5004@hotmail.com,UTA,F1,1,2,0,12,12,1,1,,F1;F2,86.2,,,,
TA5005,500005,Emp5005,TA5005@hotmail.com,UTA,F1,1,2,0,10,12,1,1,,F1;F2,78.2,,,,
TA5006,500006,Emp5006,TA5006@hotmail.com,UTA,F1,1,3,0,8,12,1,0,,F1;F2,90.6,,,,
TA5007,500007,Emp5007,TA5007@hotmail.com,UTA,F1,1,1,0,6,12,1,1,,F1;F2,70.1,,,,
TA5008,500008,Emp5008,TA5008@hotmail.com,UTA,F1,1,2,0,12,12,1,0,,F1;F4,70.5,,,,
TA5009,500009,Emp5009,TA5009@hotmail.com,UTA,F1,1,1,0,12,12,1,0,,F1;F4,89.7,,,,
TA5010,500010,Emp5010,TA5010@hotmail.com,UTA,F1,1,4,0,10,12,1,1,,F1;F2,83.6,,,,
TA5011,500011,Emp5011,TA5011@hotmail.com,UTA,F1,1,1,0,8,12,1,0,,F1;F4,92.8,,,,
TA5012,500012,Emp5012,TA5012@hotmail.com,UTA,F1,1,3,0,10,12,1,1,,F1;F2,71.4,,,,
TA5013,500013,Emp5013,TA5013@hotmail.com,UTA,F1,1,3,0,6,12,1,0,,F1;F2,61.8,,,,
TA5014,500014,Emp5014,TA5014@hotmail.com,UTA,F1,1,2,0,10,12,1,0,,F1;F4,76.2,,,,
TA5015,500015,Emp5015,TA5015@hotmail.com,UTA,F1,1,1,0,12,12,1,0,,F1;F2,66.9,,,,
TA5016,500016,Emp5016,TA5016@hotmail.com,UTA,F1,1,3,0,6,12,1,1,,F1;F4,76.5,,,,
TA5017,500017,Emp5017,TA5017@hotmail.com,UTA,F1,1,1,0,10,12,1,1,,F1;F4,81.5,,,,
TA5018,500018,Emp5018,TA5018@hotmail.com,UTA,F1,1,1,0,12,12,1,0,,F1;F4,84.1,,,,
TA5019,500019,Emp5019,TA5019@hotmail.com,UTA,F1,1,3,0,6,12,1,1,,F1;F2,65.6,,,,
TA5020,500020,Emp5020,TA5020@hotmail.com,UTA,F1,1,1,0,8,12,1,1,,F1;F4,81.4,,,,
